"","code","mad_prec","mad_temp","max_prec","max_temp","max3m_prec","max3m_temp","med_temp","min_prec","min_temp","min3m_prec","min3m_temp","tot_prec","areakm2","long","lat","elev","rain_south","rain_west","temp_south","temp_west","patch_num","mad_elev","ecoregion_name","biome","bird_num","mammal_num","reptile_num","amphibian_num","total_num"
"1","NT0101",24.83355,4.59606,184.6,21.6,504.4,21.25,17.55,104.8,13.1,352.2,13.6,1699.4,215673,-51.389,-26.527,603.39,169.48,126.72,22.83,14.82,5,198.6684,"Araucaria moist forests","Tropical Moist Forest",440,141,134,177,892
"2","NT0102",24.01812,4.74432,150.5,23.6,406.7,23.3,19.3,70.6,14.9,241.8,15.36666667,1215.5,7850,-43.734,-21.203,82.5,117.42,111.52,25.1,19.5,12,5.9304,"Atlantic Coast restingas","Tropical Moist Forest",257,196,46,195,694
"3","NT0103",42.69888,2.07564,172.4,25.9,485.5,25.7,24.15,51.6,21.6,178.5,21.96666667,1238.9,109305,-40.086,-16.613,285.53,126.74,68.85,25.65,21.75,3,176.4294,"Bahia coastal forests","Tropical Moist Forest",466,166,89,106,827
"4","NT0104",89.25252,2.2239,210.2,24.2,603.7,23.96666667,22.5,16.7,18.9,58,19.46666667,1175.1,229241,-42.018,-17.73,580.64,168.07,30.41,24.66,20.24,6,404.7498,"Bahia interior forests","Tropical Moist Forest",540,182,34,160,916
"5","NT0105",92.36598,1.26021,238.1,23.3,674,23.26666667,22.3,37.2,18.9,137.9,19.26666667,1516.3,90229,-66.877,-15.85,1569.55,210.45,47.69,21.28,17.64,1,831.7386,"Bolivian Yungas","Tropical Moist Forest",539,245,38,55,877
"6","NT0106",55.44924,1.18608,268.85,26.55,703.65,26.51666667,25.275,4.2,24.3,15.4,24.46666667,1109.15,4776,-40.179,-4.357,301.79,110.61,24.84,26.66,25.48,5,264.6441,"Caatinga Enclaves moist forests","Tropical Moist Forest",0,124,52,20,196
"7","NT0107",109.7124,0.51891,346.3,26.6,999.4,26.4,26.05,111.9,24.6,386.3,24.9,2829.8,183358,-71.969,0.781,277.56,260.12,182.14,25,25.57,1,114.1602,"Caqueta moist forests","Tropical Moist Forest",469,193,133,75,870
"8","NT0108",82.95147,0.51891,289.6,27.8,702.3,27.66666667,27.15,56.7,26.2,198.9,26.36666667,1982.2,22753,-71.871,9.216,577.59,113.52,62.35,25.57,24.6,4,142.3296,"Catatumbo moist forests","Tropical Moist Forest",403,205,61,3,672
"9","NT0109",65.75331,0.22239,278.7,19.5,728.3,19.4,19.05,89.9,18.6,324.8,18.66666667,2247.7,31915,-75.962,4.992,1712.18,151.59,135.1,18.87,18.64,1,736.8522,"Cauca Valley montane forests","Tropical Moist Forest",493,201,96,60,850
"10","NT0111",140.03157,0.96369,374.4,26.7,1014.2,26.4,25.2,45.9,23.7,173.2,23.9,2428.4,89450,-86.13,14.521,506.46,305.29,113.83,24.86,22.52,8,200.8923,"Central American Atlantic moist forests","Tropical Moist Forest",430,172,143,38,783
"11","NT0112",128.39316,1.33434,289.2,22.8,781.9,22.46666667,21.45,19.3,19,67.6,19.46666667,1741.4,13251,-87.872,14.437,936.06,258.77,49.39,22.79,20.49,54,597.4878,"Central American montane forests","Tropical Moist Forest",303,191,111,73,678
"12","NT0113",103.596675,1.33434,325.1,22.65,814.75,22.4,21.35,44.35,18.3,159.5,18.63333333,1837.8,5759,-91.91,16.77,915.76,292.39,74.91,23.63,20.51,7,429.954,"Chiapas montane forests","Tropical Moist Forest",325,163,61,49,598
"13","NT0114",55.37511,1.85325,212.8,24.5,557.1,24.13333333,22.6,2.7,19.4,12.3,19.76666667,927.1,2077,-94.15,16.55,575.8,207.57,5.26,25.7,22.43,1,409.1976,"Chimalapas montane forests","Tropical Moist Forest",294,145,31,19,489
