"","ecoregion_name","code","biome","long","lat","sec_type","value","pri_type"
"1","Araucaria moist forests","NT0101","Tropical Moist Forest",-51.389,-26.527,"bird_num",440,"Species Data"
"2","Atlantic Coast restingas","NT0102","Tropical Moist Forest",-43.734,-21.203,"bird_num",257,"Species Data"
"3","Bahia coastal forests","NT0103","Tropical Moist Forest",-40.086,-16.613,"bird_num",466,"Species Data"
"4","Bahia interior forests","NT0104","Tropical Moist Forest",-42.018,-17.73,"bird_num",540,"Species Data"
"5","Bolivian Yungas","NT0105","Tropical Moist Forest",-66.877,-15.85,"bird_num",539,"Species Data"
"6","Caatinga Enclaves moist forests","NT0106","Tropical Moist Forest",-40.179,-4.357,"bird_num",0,"Species Data"
"7","Caqueta moist forests","NT0107","Tropical Moist Forest",-71.969,0.781,"bird_num",469,"Species Data"
"8","Catatumbo moist forests","NT0108","Tropical Moist Forest",-71.871,9.216,"bird_num",403,"Species Data"
"9","Cauca Valley montane forests","NT0109","Tropical Moist Forest",-75.962,4.992,"bird_num",493,"Species Data"
"10","Central American Atlantic moist forests","NT0111","Tropical Moist Forest",-86.13,14.521,"bird_num",430,"Species Data"
"11","Central American montane forests","NT0112","Tropical Moist Forest",-87.872,14.437,"bird_num",303,"Species Data"
"12","Chiapas montane forests","NT0113","Tropical Moist Forest",-91.91,16.77,"bird_num",325,"Species Data"
"13","Chimalapas montane forests","NT0114","Tropical Moist Forest",-94.15,16.55,"bird_num",294,"Species Data"
"14","Choco-Darien moist forests","NT0115","Tropical Moist Forest",-77.515,5.613,"bird_num",600,"Species Data"
"15","Cordillera La Costa montane forests","NT0117","Tropical Moist Forest",-66.071,10.179,"bird_num",584,"Species Data"
"16","Cordillera Oriental montane forests","NT0118","Tropical Moist Forest",-73.48,5.782,"bird_num",658,"Species Data"
"17","Costa Rican seasonal moist forests","NT0119","Tropical Moist Forest",-85.146,10.854,"bird_num",373,"Species Data"
"18","Cuban moist forests","NT0120","Tropical Moist Forest",-79.12,21.665,"bird_num",251,"Species Data"
"19","Eastern Cordillera real montane forests","NT0121","Tropical Moist Forest",-78.414,-2.586,"bird_num",568,"Species Data"
"20","Eastern Panamanian montane forests","NT0122","Tropical Moist Forest",-78.075,8.25,"bird_num",327,"Species Data"
"21","Guianan Highlands moist forests","NT0124","Tropical Moist Forest",-61.734,4.289,"bird_num",613,"Species Data"
"22","Guianan moist forests","NT0125","Tropical Moist Forest",-56.817,4.378,"bird_num",685,"Species Data"
"23","Gurupa varzea","NT0126","Tropical Moist Forest",-53.987,-2.066,"bird_num",558,"Species Data"
"24","Hispaniolan moist forests","NT0127","Tropical Moist Forest",-71.44,18.833,"bird_num",217,"Species Data"
"25","Iquitos varzea","NT0128","Tropical Moist Forest",-74.151,-5.295,"bird_num",624,"Species Data"
"26","Isthmian-Atlantic moist forests","NT0129","Tropical Moist Forest",-82.24,9.934,"bird_num",518,"Species Data"
"27","Isthmian-Pacific moist forests","NT0130","Tropical Moist Forest",-81.962,8.558,"bird_num",407,"Species Data"
"28","Jamaican moist forests","NT0131","Tropical Moist Forest",-77.25,18.25,"bird_num",207,"Species Data"
"29","Japura-Solimoes-Negro moist forests","NT0132","Tropical Moist Forest",-65.619,-0.847,"bird_num",506,"Species Data"
"30","Jurua-Purus moist forests","NT0133","Tropical Moist Forest",-66.861,-5.569,"bird_num",554,"Species Data"
"31","Leeward Islands moist forests","NT0134","Tropical Moist Forest",-65.75,18.25,"bird_num",134,"Species Data"
"32","Madeira-Tapajos moist forests","NT0135","Tropical Moist Forest",-60.267,-9.132,"bird_num",621,"Species Data"
"33","Magdalena Valley montane forests","NT0136","Tropical Moist Forest",-74.516,5.554,"bird_num",500,"Species Data"
"34","Magdalena-Uraba moist forests","NT0137","Tropical Moist Forest",-74.782,7.995,"bird_num",517,"Species Data"
"35","Marajo varzea","NT0138","Tropical Moist Forest",-50.676,-0.314,"bird_num",540,"Species Data"
"36","Maranhao Babatu forests","NT0139","Tropical Moist Forest",-43.592,-4.346,"bird_num",268,"Species Data"
"37","Mato Grosso seasonal forests","NT0140","Tropical Moist Forest",-52.366,-9.516,"bird_num",476,"Species Data"
"38","Monte Alegre varzea","NT0141","Tropical Moist Forest",-60.162,-4.447,"bird_num",681,"Species Data"
"39","Napo moist forests","NT0142","Tropical Moist Forest",-75.801,-1.985,"bird_num",650,"Species Data"
"40","Negro-Branco moist forests","NT0143","Tropical Moist Forest",-67.162,1.981,"bird_num",486,"Species Data"
"41","Northeastern Brazil restingas","NT0144","Tropical Moist Forest",-42.083,-3.042,"bird_num",276,"Species Data"
"42","Northwestern Andean montane forests","NT0145","Tropical Moist Forest",-77.539,2.5,"bird_num",567,"Species Data"
"43","Oaxacan montane forests","NT0146","Tropical Moist Forest",-96.386,17.977,"bird_num",323,"Species Data"
"44","Orinoco Delta swamp forests","NT0147","Tropical Moist Forest",-61.89,9.17,"bird_num",405,"Species Data"
"45","Pantanos de Centla","NT0148","Tropical Moist Forest",-92.159,18.068,"bird_num",360,"Species Data"
"46","Guianan Freshwater swamp forests","NT0149","Tropical Moist Forest",-55.75,5.6,"bird_num",565,"Species Data"
"47","Alto Parana Atlantic forests","NT0150","Tropical Moist Forest",-51.079,-23.145,"bird_num",586,"Species Data"
"48","Pernambuco coastal forests","NT0151","Tropical Moist Forest",-35.809,-8.397,"bird_num",407,"Species Data"
"49","Pernambuco interior forests","NT0152","Tropical Moist Forest",-36.185,-8.54,"bird_num",343,"Species Data"
"50","Peruvian Yungas","NT0153","Tropical Moist Forest",-75.005,-10.44,"bird_num",645,"Species Data"
"51","Peten-Veracruz moist forests","NT0154","Tropical Moist Forest",-92.006,17.318,"bird_num",468,"Species Data"
"52","Puerto Rican moist forests","NT0155","Tropical Moist Forest",-66.35,18.25,"bird_num",181,"Species Data"
"53","Purus varzea","NT0156","Tropical Moist Forest",-69.441,-2.862,"bird_num",623,"Species Data"
"54","Purus-Madeira moist forests","NT0157","Tropical Moist Forest",-63.468,-6.696,"bird_num",572,"Species Data"
"55","Rio Negro campinarana","NT0158","Tropical Moist Forest",-64.931,0.772,"bird_num",358,"Species Data"
"56","Santa Marta montane forests","NT0159","Tropical Moist Forest",-73.607,10.75,"bird_num",459,"Species Data"
"57","Serra do Mar coastal forests","NT0160","Tropical Moist Forest",-47.063,-24.604,"bird_num",628,"Species Data"
"58","Sierra de los Tuxtlas","NT0161","Tropical Moist Forest",-95.125,18.25,"bird_num",436,"Species Data"
"59","Sierra Madre de Chiapas moist forest","NT0162","Tropical Moist Forest",-91.721,14.897,"bird_num",315,"Species Data"
"60","Solimoes-Japura moist forest","NT0163","Tropical Moist Forest",-70.875,-2.229,"bird_num",542,"Species Data"
"61","South Florida rocklands","NT0164","Tropical Moist Forest",-80.75,25.417,"bird_num",176,"Species Data"
"62","Southern Andean Yungas","NT0165","Tropical Moist Forest",-64.807,-23.557,"bird_num",463,"Species Data"
"63","Southwest Amazon moist forests","NT0166","Tropical Moist Forest",-69.77,-10.023,"bird_num",782,"Species Data"
"64","Talamancan montane forests","NT0167","Tropical Moist Forest",-82.88,9.293,"bird_num",450,"Species Data"
