measure,type,code
104.8,min.prec,NT0101
70.6,min.prec,NT0102
51.6,min.prec,NT0103
16.7,min.prec,NT0104
37.2,min.prec,NT0105
4.2,min.prec,NT0106
111.9,min.prec,NT0107
56.7,min.prec,NT0108
89.9,min.prec,NT0109
45.9,min.prec,NT0111
19.3,min.prec,NT0112
44.35,min.prec,NT0113
2.7,min.prec,NT0114
199.6,min.prec,NT0115
17.4,min.prec,NT0117
32.5,min.prec,NT0118
4.3,min.prec,NT0119
35.25,min.prec,NT0120
56.25,min.prec,NT0121
98.2,min.prec,NT0122
73.8,min.prec,NT0124
60.7,min.prec,NT0125
45.4,min.prec,NT0126
53.1,min.prec,NT0127
102.55,min.prec,NT0128
62.3,min.prec,NT0129
31.6,min.prec,NT0130
68.55,min.prec,NT0131
149.3,min.prec,NT0132
79.7,min.prec,NT0133
108.4,min.prec,NT0134
18.25,min.prec,NT0135
69.1,min.prec,NT0136
32.55,min.prec,NT0137
44.6,min.prec,NT0138
12.65,min.prec,NT0139
3.6,min.prec,NT0140
60,min.prec,NT0141
177.1,min.prec,NT0142
115.7,min.prec,NT0143
5.15,min.prec,NT0144
73,min.prec,NT0145
40.8,min.prec,NT0146
58.3,min.prec,NT0147
51.95,min.prec,NT0148
68.45,min.prec,NT0149
48.3,min.prec,NT0150
33.55,min.prec,NT0151
26.35,min.prec,NT0152
16.4,min.prec,NT0153
49.4,min.prec,NT0154
79.2,min.prec,NT0155
105.95,min.prec,NT0156
38.6,min.prec,NT0157
147.95,min.prec,NT0158
25.65,min.prec,NT0159
61.7,min.prec,NT0160
28.2,min.prec,NT0161
6.95,min.prec,NT0162
177.4,min.prec,NT0163
37.15,min.prec,NT0164
4.9,min.prec,NT0165
63.8,min.prec,NT0166
75.9,min.prec,NT0167
27,min.prec,NT0168
60.3,min.prec,NT0169
37.2,min.prec,NT0170
54.55,min.prec,NT0171
59.7,min.prec,NT0173
96.2,min.prec,NT0174
24.6,min.prec,NT0175
21.95,min.prec,NT0176
43.55,min.prec,NT0177
37.05,min.prec,NT0178
97,min.prec,NT0179
25.2,min.prec,NT0180
27.5,min.prec,NT0181
61.7,min.prec,NT0182
12,min.prec,NT0201
1.3,min.prec,NT0202
5,min.prec,NT0204
2.35,min.prec,NT0205
1.95,min.prec,NT0206
81.4,min.prec,NT0207
3.8,min.prec,NT0209
7.6,min.prec,NT0210
4.3,min.prec,NT0211
17.1,min.prec,NT0212
26.35,min.prec,NT0213
2.4,min.prec,NT0214
29.1,min.prec,NT0215
4,min.prec,NT0217
39.85,min.prec,NT0218
15.85,min.prec,NT0219
53.6,min.prec,NT0220
49.8,min.prec,NT0221
22.65,min.prec,NT0222
25.35,min.prec,NT0223
5.7,min.prec,NT0224
54.5,min.prec,NT0225
53.2,min.prec,NT0226
1.25,min.prec,NT0227
4.1,min.prec,NT0228
19.55,min.prec,NT0229
0.8,min.prec,NT0230
0.6,min.prec,NT0232
13.65,min.prec,NT0233
23,min.prec,NT0235
31.3,min.prec,NT0301
58.25,min.prec,NT0302
14.9,min.prec,NT0303
42.7,min.prec,NT0304
53.4,min.prec,NT0305
57.3,min.prec,NT0306
8.9,min.prec,NT0307
16,min.prec,NT0308
3.1,min.prec,NT0309
6.6,min.prec,NT0310
108.7,min.prec,NT0402
49.8,min.prec,NT0404
32.6,min.prec,NT0702
16.6,min.prec,NT0703
6.3,min.prec,NT0704
51.3,min.prec,NT0707
35.65,min.prec,NT0708
10.4,min.prec,NT0709
87.7,min.prec,NT0710
18.4,min.prec,NT0801
8.5,min.prec,NT0802
35.35,min.prec,NT0803
9.2,min.prec,NT0805
20.45,min.prec,NT0902
19.2,min.prec,NT0903
41.2,min.prec,NT0904
0.55,min.prec,NT0905
34.6,min.prec,NT0906
21.75,min.prec,NT0907
41.15,min.prec,NT0908
80.7,min.prec,NT0909
0.7,min.prec,NT1001
2,min.prec,NT1002
3.5,min.prec,NT1003
18.1,min.prec,NT1004
8.3,min.prec,NT1005
31.8,min.prec,NT1006
34.6,min.prec,NT1007
9.5,min.prec,NT1008
4.1,min.prec,NT1010
0.6,min.prec,NT1201
26.8,min.prec,NT1301
0.5,min.prec,NT1303
3.3,min.prec,NT1304
45.4,min.prec,NT1305
35.6,min.prec,NT1306
46.3,min.prec,NT1307
8.7,min.prec,NT1308
6.05,min.prec,NT1309
25,min.prec,NT1312
11.3,min.prec,NT1313
0.8,min.prec,NT1314
0.4,min.prec,NT1315
5.8,min.prec,NT1316
27.85,min.prec,NT1401
29.4,min.prec,NT1402
34.5,min.prec,NT1403
0.7,min.prec,NT1404
84.9,min.prec,NT1405
50.7,min.prec,NT1406
1.65,min.prec,NT1407
184.6,max.prec,NT0101
150.5,max.prec,NT0102
172.4,max.prec,NT0103
210.2,max.prec,NT0104
238.1,max.prec,NT0105
268.85,max.prec,NT0106
346.3,max.prec,NT0107
289.6,max.prec,NT0108
278.7,max.prec,NT0109
374.4,max.prec,NT0111
289.2,max.prec,NT0112
325.1,max.prec,NT0113
212.8,max.prec,NT0114
483.6,max.prec,NT0115
194.1,max.prec,NT0117
254.8,max.prec,NT0118
396.65,max.prec,NT0119
215.75,max.prec,NT0120
171.6,max.prec,NT0121
398.2,max.prec,NT0122
435.3,max.prec,NT0124
372.9,max.prec,NT0125
334.55,max.prec,NT0126
235,max.prec,NT0127
256.7,max.prec,NT0128
413.7,max.prec,NT0129
423.6,max.prec,NT0130
302.2,max.prec,NT0131
321.5,max.prec,NT0132
303.75,max.prec,NT0133
297.8,max.prec,NT0134
329.3,max.prec,NT0135
273.35,max.prec,NT0136
334.5,max.prec,NT0137
406.2,max.prec,NT0138
332.2,max.prec,NT0139
344.9,max.prec,NT0140
316,max.prec,NT0141
310.6,max.prec,NT0142
415.5,max.prec,NT0143
340.1,max.prec,NT0144
323.7,max.prec,NT0145
323.2,max.prec,NT0146
247.85,max.prec,NT0147
357.8,max.prec,NT0148
300.6,max.prec,NT0149
195.5,max.prec,NT0150
236.55,max.prec,NT0151
194.8,max.prec,NT0152
153.6,max.prec,NT0153
369.25,max.prec,NT0154
240.1,max.prec,NT0155
306.95,max.prec,NT0156
306.2,max.prec,NT0157
352.9,max.prec,NT0158
324.7,max.prec,NT0159
232.1,max.prec,NT0160
419.6,max.prec,NT0161
475.5,max.prec,NT0162
330.15,max.prec,NT0163
246.8,max.prec,NT0164
153.9,max.prec,NT0165
288.8,max.prec,NT0166
472.9,max.prec,NT0167
335.1,max.prec,NT0168
460.8,max.prec,NT0169
391.45,max.prec,NT0170
271.3,max.prec,NT0171
328.9,max.prec,NT0173
245.2,max.prec,NT0174
164.6,max.prec,NT0175
267.15,max.prec,NT0176
391.35,max.prec,NT0177
386.35,max.prec,NT0178
308.6,max.prec,NT0179
326.4,max.prec,NT0180
209.85,max.prec,NT0181
426.2,max.prec,NT0182
282.4,max.prec,NT0201
169.1,max.prec,NT0202
186.3,max.prec,NT0204
207.25,max.prec,NT0205
122.95,max.prec,NT0206
213.05,max.prec,NT0207
315.65,max.prec,NT0209
119.55,max.prec,NT0210
273.2,max.prec,NT0211
199.1,max.prec,NT0212
211.15,max.prec,NT0213
257.15,max.prec,NT0214
163.8,max.prec,NT0215
245.7,max.prec,NT0217
306.7,max.prec,NT0218
109,max.prec,NT0219
252.8,max.prec,NT0220
239.9,max.prec,NT0221
171.35,max.prec,NT0222
130.3,max.prec,NT0223
318,max.prec,NT0224
283.1,max.prec,NT0225
200.9,max.prec,NT0226
136.05,max.prec,NT0227
232.5,max.prec,NT0228
228.9,max.prec,NT0229
278.15,max.prec,NT0230
93.15,max.prec,NT0232
