code	areakm2	long	lat	elev	rainS	rainW	tempS	tempW	npolys	mad.elev
NT0101	215673	-51.389	-26.527	603.39	169.48	126.72	22.83	14.82	5	198.6684
NT0102	7850	-43.734	-21.203	82.5	117.42	111.52	25.1	19.5	12	5.9304
NT0103	109305	-40.086	-16.613	285.53	126.74	68.85	25.65	21.75	3	176.4294
NT0104	229241	-42.018	-17.73	580.64	168.07	30.41	24.66	20.24	6	404.7498
NT0105	90229	-66.877	-15.85	1569.55	210.45	47.69	21.28	17.64	1	831.7386
NT0106	4776	-40.179	-4.357	301.79	110.61	24.84	26.66	25.48	5	264.6441
NT0107	183358	-71.969	0.781	277.56	260.12	182.14	25	25.57	1	114.1602
NT0108	22753	-71.871	9.216	577.59	113.52	62.35	25.57	24.6	4	142.3296
NT0109	31915	-75.962	4.992	1712.18	151.59	135.1	18.87	18.64	1	736.8522
NT0111	89450	-86.13	14.521	506.46	305.29	113.83	24.86	22.52	8	200.8923
NT0112	13251	-87.872	14.437	936.06	258.77	49.39	22.79	20.49	54	597.4878
NT0113	5759	-91.91	16.77	915.76	292.39	74.91	23.63	20.51	7	429.954
NT0114	2077	-94.15	16.55	575.8	207.57	5.26	25.7	22.43	1	409.1976
NT0115	73305	-77.515	5.613	411.71	327.09	225.16	24.93	24.71	2	86.7321
NT0117	14282	-66.071	10.179	499.04	171.73	43.42	24.37	23.65	11	434.4018
NT0118	67577	-73.48	5.782	1179.37	189.79	76.04	21.26	21.41	1	963.69
NT0119	10900	-85.146	10.854	324.25	292.87	74.29	25.53	25.01	6	394.3716
NT0120	21339	-79.12	21.665	74.8	155.35	43.03	27.53	22.97	35	143.8122
NT0121	102062	-78.414	-2.586	1542.66	136.32	105.03	19.48	18.81	1	1009.6506
NT0122	3031	-78.075	8.25	285.2	301.78	103.99	25.48	25.1	9	189.7728
NT0124	145963	-61.734	4.289	520.81	334.6	112.98	24.06	24.46	52	277.2462
NT0125	476136	-56.817	4.378	200.51	243.95	188.99	25.73	25.39	3	126.021
NT0126	9881	-53.987	-2.066	50.68	198.1	118.23	26.97	27.12	6	20.7564
NT0127	45814	-71.44	18.833	311.48	113.55	64.08	26.04	22.88	7	226.0965
NT0128	114506	-74.151	-5.295	184.06	232.18	144.3	26.26	25.41	73	48.9258
NT0129	58359	-82.24	9.934	368.57	331.6	157.45	24.97	24.05	4	104.5233
NT0130	29176	-81.962	8.558	458.31	265.47	68.8	24.64	23.9	2	243.1464
