ecoregion_name,biome,code,bird,mam,rep,amp,"birds,mams,reps,amps"
Araucaria moist forests,TrM,NT0101,440,141,134,177,892
Atlantic Coast restingas,TrM,NT0102,257,196,46,195,694
Bahia coastal forests,TrM,NT0103,466,166,89,106,827
Bahia interior forests,TrM,NT0104,540,182,34,160,916
Bolivian Yungas,TrM,NT0105,539,245,38,55,877
Caatinga Enclaves moist forests,TrM,NT0106,0,124,52,20,196
Caqueta moist forests,TrM,NT0107,469,193,133,75,870
Catatumbo moist forests,TrM,NT0108,403,205,61,3,672
Cauca Valley montane forests,TrM,NT0109,493,201,96,60,850
Central American Atlantic moist forests,TrM,NT0111,430,172,143,38,783
Central American montane forests,TrM,NT0112,303,191,111,73,678
Chiapas montane forests,TrM,NT0113,325,163,61,49,598
Chimalapas montane forests,TrM,NT0114,294,145,31,19,489
Choco-Darien moist forests,TrM,NT0115,600,215,200,138,1153
Cordillera La Costa montane forests,TrM,NT0117,584,194,53,40,871
Cordillera Oriental montane forests,TrM,NT0118,658,254,70,85,1067
Costa Rican seasonal moist forests,TrM,NT0119,373,186,99,40,698
Cuban moist forests,TrM,NT0120,251,33,97,37,418
Eastern Cordillera real montane forests,TrM,NT0121,568,238,159,194,1159
Eastern Panamanian montane forests,TrM,NT0122,327,198,102,30,657
Guianan Highlands moist forests,TrM,NT0124,613,237,80,102,1032
Guianan moist forests,TrM,NT0125,685,215,204,135,1239
Gurupa varzea,TrM,NT0126,558,174,27,32,791
Hispaniolan moist forests,TrM,NT0127,217,20,117,47,401
Iquitos varzea,TrM,NT0128,624,255,164,131,1174
Isthmian-Atlantic moist forests,TrM,NT0129,518,217,168,118,1021
Isthmian-Pacific moist forests,TrM,NT0130,407,190,143,99,839
Jamaican moist forests,TrM,NT0131,207,21,33,20,281
Japura-Solimoes-Negro moist forests,TrM,NT0132,506,189,77,99,871
Jurua-Purus moist forests,TrM,NT0133,554,189,38,68,849
Leeward Islands moist forests,TrM,NT0134,134,12,43,11,200
Madeira-Tapajos moist forests,TrM,NT0135,621,251,71,55,998
Magdalena Valley montane forests,TrM,NT0136,500,230,80,107,917
Magdalena-Uraba moist forests,TrM,NT0137,517,197,122,48,884
Marajo varzea,TrM,NT0138,540,184,86,53,863
Maranhao Babatu forests,TrM,NT0139,268,133,112,26,539
Mato Grosso seasonal forests,TrM,NT0140,476,174,38,52,740
Monte Alegre varzea,TrM,NT0141,681,221,38,61,1001
Napo moist forests,TrM,NT0142,650,243,205,168,1266
Negro-Branco moist forests,TrM,NT0143,486,213,127,70,896
Northeastern Brazil restingas,TrM,NT0144,276,119,13,15,423
Northwestern Andean montane forests,TrM,NT0145,567,248,144,219,1178
Oaxacan montane forests,TrM,NT0146,323,185,92,51,651
Orinoco Delta swamp forests,TrM,NT0147,405,192,22,10,629
Pantanos de Centla,TrM,NT0148,360,130,45,18,553
Guianan Freshwater swamp forests,TrM,NT0149,565,177,70,33,845
Alto Parana Atlantic forests,TrM,NT0150,586,213,163,303,1265
Pernambuco coastal forests,TrM,NT0151,407,122,84,36,649
Pernambuco interior forests,TrM,NT0152,343,132,25,38,538
Peruvian Yungas,TrM,NT0153,645,255,80,117,1097
Peten-Veracruz moist forests,TrM,NT0154,468,191,226,103,988
Puerto Rican moist forests,TrM,NT0155,181,15,36,17,249
Purus varzea,TrM,NT0156,623,219,164,128,1134
Purus-Madeira moist forests,TrM,NT0157,572,183,36,72,863
Rio Negro campinarana,TrM,NT0158,358,216,25,65,664
Santa Marta montane forests,TrM,NT0159,459,170,38,20,687
Serra do Mar coastal forests,TrM,NT0160,628,175,123,247,1173
Sierra de los Tuxtlas,TrM,NT0161,436,117,83,41,677
Sierra Madre de Chiapas moist forest,TrM,NT0162,315,148,118,44,625
Solimoes-Japura moist forest,TrM,NT0163,542,191,224,136,1093
South Florida rocklands,TrM,NT0164,176,36,51,15,278
Southern Andean Yungas,TrM,NT0165,463,161,72,49,745
Southwest Amazon moist forests,TrM,NT0166,782,303,228,173,1486
Talamancan montane forests,TrM,NT0167,450,204,132,124,910
Tapajos-Xingu moist forests,TrM,NT0168,556,179,113,58,906
Pantepuis,TrM,NT0169,628,215,24,62,929
Tocantins/Pindare moist forests,TrM,NT0170,517,164,152,35,868
Trinidad and Tobago moist forests,TrM,NT0171,308,36,11,2,357
Uatuma-Trombetas moist forests,TrM,NT0173,482,207,159,96,944
Ucayali moist forests,TrM,NT0174,603,237,139,123,1102
Venezuelan Andes montane forests,TrM,NT0175,473,225,33,60,791
Veracruz moist forests,TrM,NT0176,341,149,145,60,695
Veracruz montane forests,TrM,NT0177,328,128,48,27,531
Western Ecuador moist forests,TrM,NT0178,490,151,144,87,872
Windward Islands moist forests,TrM,NT0179,158,19,45,6,228
Xingu-Tocantins-Araguaia moist forests,TrM,NT0180,527,176,121,52,876
Yucatan moist forests,TrM,NT0181,359,111,133,35,638
Guianan piedmont and lowland moist forests,TrM,NT0182,0,227,0,0,227
Apure-Villavicencio dry forests,TrD,NT0201,474,238,66,47,825
Atlantic dry forests,TrD,NT0202,311,147,26,41,525
Bajio dry forests,TrD,NT0204,278,139,71,33,521
Balsas dry forests,TrD,NT0205,264,162,143,43,612
Bolivian montane dry forests,TrD,NT0206,222,175,29,25,451
Cauca Valley dry forests,TrD,NT0207,311,176,35,7,529
Central American dry forests,TrD,NT0209,330,195,99,36,660
Dry Chaco,TrD,NT0210,572,193,131,57,953
Chiapas Depression dry forests,TrD,NT0211,188,160,106,33,487
Chiquitano dry forests,TrD,NT0212,457,209,82,55,803
Cuban dry forests,TrD,NT0213,246,34,93,32,405
Ecuadorian dry forests,TrD,NT0214,338,129,31,13,511
Hispaniolan dry forests,TrD,NT0215,214,20,117,30,381
Jalisco dry forests,TrD,NT0217,326,137,123,26,612
Jamaican dry forests,TrD,NT0218,200,21,31,14,266
Lara-Falcon dry forests,TrD,NT0219,334,174,9,10,527
Lesser Antillean dry forests,TrD,NT0220,344,43,56,6,449
Magdalena Valley dry forests,TrD,NT0221,348,171,51,19,589
Maracaibo dry forests,TrD,NT0222,397,191,12,9,609
Maranon dry forests,TrD,NT0223,156,138,38,4,336
Panamanian dry forests,TrD,NT0224,273,165,59,22,519
Patia Valley dry forests,TrD,NT0225,124,155,13,0,292
Puerto Rican dry forests,TrD,NT0226,181,15,51,6,253
Sierra de la Laguna dry forests,TrD,NT0227,194,46,45,2,287
Sinaloan dry forests,TrD,NT0228,325,149,131,39,644
Sinu Valley dry forests,TrD,NT0229,396,179,132,43,750
Southern Pacific dry forests,TrD,NT0230,299,159,218,68,744
Tumbes-Piura dry forests,TrD,NT0232,295,100,60,11,466
Veracruz dry forests,TrD,NT0233,295,124,70,26,515
Yucatan dry forests,TrD,NT0235,295,87,97,19,498
Bahamian pine mosaic,TrC,NT0301,218,8,44,2,272
Belizean pine forests,TrC,NT0302,272,122,39,14,447
Central American pine-oak forests,TrC,NT0303,349,203,194,107,853
